country,abr,co2_prod,coef_ineq,diff_hdi_phdi,gdi,gii,hdi,ihdi,ineq_edu,ineq_inc,ineq_le,lfpr_f,lfpr_m,loss,mf,mmr,phdi,pr_f,pr_m,se_f,se_m,continent
Afghanistan,82.565,0.312376488,19.683580538139257,0.836820084,0.681,0.678,0.478,0.42151037773547034,45.36517,-12.479795530745466,26.16536713,14.848,66.515,19.47477626909344,1.38,638.0,0.474,27.21518987,72.78481013,6.395730019,14.86571026,Asia
Albania,14.517,1.575753953,10.76768488,7.16080402,1.007,0.144,0.796,0.71,12.33344,13.17898,6.790634632,50.733,66.154,10.8040201,12.96,15.0,0.739,35.71428571,64.28571429,95.38750547,93.03841453,Europe
Algeria,11.714,3.534590875,19.07287475,7.785234899,0.88,0.499,0.745,0.598,33.28262,11.5052,12.43080425,15.684,64.48,19.73154362,11.21,112.0,0.687,7.481751825,92.51824818,46.04397589,56.92760312,Africa
Andorra,5.887,6.034944671,17.203646013990575,10.924719234557152,0.9948601281993481,0.1620403565227474,0.858,0.714452073259533,10.00815435,36.30487395471151,5.297909737,52.50829051679313,70.18898229391654,17.9542101485208,14.049766177998725,2.0,0.7631153477768727,46.42857143,53.57142857,70.66585436,72.42209721,Europe
Angola,138.402,0.675409733,30.41216757,1.535836177,0.903,0.537,0.586,0.407,34.17144,28.87733,28.1877327,73.968,79.071,30.54607509,2.18,241.0,0.577,29.54545455,70.45454545,28.1639,51.54617,Africa
Antigua and Barbuda,33.11,4.395122997,17.83485914249303,10.575379568290892,0.9726168890640657,0.2775397476211093,0.788,0.649303803256917,20.641627217563965,28.11664426597594,4.746305943,49.94834445272013,71.61426428895136,18.547535739929433,15.832819977794811,42.0,0.6988912860401146,31.42857143,68.57142857,61.05966165282422,64.52079059786001,America
Argentina,39.065,3.473291552,13.83730084,9.857482185,0.997,0.287,0.842,0.72,5.78729,28.099767,7.624845505,50.01,71.603,14.48931116,15.81,39.0,0.759,44.3768997,55.6231003,70.95140102,71.41679445,America
Armenia,18.511,1.987788379,9.136398122,4.216073781,1.001,0.216,0.759,0.688,2.93495,17.43837,7.035874367,42.663,63.004,9.354413702,5.95,26.0,0.727,33.64485981,66.35514019,96.00138092,97.05095673,Asia
Australia,8.096,15.36837971,7.640183183,33.01787592,0.968,0.073,0.951,0.876,3.056569899,17.126,2.73797965,61.057,70.547,7.886435331,46.82,6.0,0.637,37.88546256,62.11453744,94.58006287,94.43006897,Oceania
Austria,5.521,6.732425105,6.904079795,16.37554585,0.98,0.053,0.916,0.851,2.52241,14.93291,3.256919384,55.514,66.283,7.096069869,24.62,5.0,0.766,39.3442623,60.6557377,100.0,100.0,Europe
Azerbaijan,40.079,3.720272365,7.915732963,7.651006711,0.974,0.294,0.745,0.685,3.56506161,8.859,11.32313728,60.366,67.342,8.053691275,10.56,26.0,0.688,18.18181818,81.81818182,93.6227417,97.56490326,Asia
Bahamas,25.686,5.944655227,17.78325180525419,21.92118227,1.0184392779072995,0.329,0.812,0.6658984392014451,6.917101819,37.693556013199775,8.739097595,65.627,71.486,18.408746156674823,37.8,70.0,0.634,20.0,80.0,86.99974025,89.93165835,America
Bahrain,8.676,20.54572969,17.275658436647518,26.05714286,0.927,0.181,0.875,0.7367727603471084,12.56789221,34.752342521897255,4.50674057,42.361,83.531,17.999518632351794,23.83,14.0,0.647,18.75,81.25,79.90357208,83.08016205,Asia
Bangladesh,75.496,0.563737615,23.13718939,1.815431165,0.898,0.53,0.661,0.503,37.31177,16.55655,15.54324818,34.869,78.782,23.903177,2.88,173.0,0.649,20.85714286,79.14285714,50.61270905,58.54695892,Asia
Barbados,42.297,3.781470204,15.71572331,10.524935799524945,1.034,0.268,0.79,0.657,5.54685,33.58537775,8.014942169,56.055,63.727,16.83544304,16.66841266693276,27.0,0.70879273748009,29.41176471,70.58823529,95.38591214,86.00105471,America
